"","(Intercept)","beta_1","alpha_1"
"166",0.140930476230276,0.0355193682088723,0.0899054568075538
"167",0.101273794688832,0.0360543153976217,0.0697786015317907
"168",0.147914049115564,0.0371932186586189,0.102206880731633
"169",0.124978605632433,0.0356691061431776,0.0826225196743173
"170",0.127714716524057,0.0334867119755721,0.0814502220056318
"171",0.160591308262613,0.0361653053106223,0.0912891332851133
"172",0.128676666628269,0.0350246835155229,0.0812939672055682
"173",0.138550262014812,0.0300076663951781,0.0734973265065563
"174",0.136052647813159,0.0314921253585697,0.0709313836624579
"175",0.167370064889331,0.032566181760618,0.0817968890348245
"176",0.189230380959536,0.0375949848983591,0.12324160072798
"177",0.111254232322445,0.0294159904700414,0.0602744628966951
"178",0.114415914199089,0.0360485005908956,0.0759891917005143
"179",0.123318597546902,0.0291310067709614,0.0672007916250884
"180",0.13319873381412,0.0350991633776062,0.0846064235889715
"181",0.124283234403361,0.0291332051019357,0.0686193295847039
"182",0.12836536576791,0.0365399392672266,0.0815328272741741
"183",0.115978902879486,0.0287929961331229,0.056082299688688
"184",0.136423559458046,0.0360799482022249,0.0892371120741328
"185",0.14169309524461,0.0300340980972094,0.0725956562628596
"186",0.132345943137264,0.0302038721682506,0.0652105158658745
"187",0.133278408398171,0.0300272155018096,0.0715871097560238
"188",0.131048916364321,0.0356127506962778,0.0811488230032235
"189",0.122300603583991,0.0296290556561113,0.0594121967043969
"190",0.135755758302827,0.0358994287808699,0.0859975586227688
"191",0.109107298669283,0.0291804426518681,0.0586236363337637
"192",0.135892468268434,0.0370396518212616,0.0928044625348467
"193",0.164581951644136,0.0368479046664554,0.106269915056443
"194",0.151504361516129,0.037191994880009,0.093309499291096
"195",0.113740554921107,0.0300157223371205,0.0549538961473979
"196",0.200347461550722,0.0355880485108593,0.119055666954936
"197",0.11795434837573,0.0301498499115894,0.0656022131725064
"198",0.106732733419834,0.029002490085642,0.0574423899549077
"199",0.149167670602512,0.0372901498997987,0.0969770015810822
"200",0.112619795961397,0.0297711747699832,0.0601343703046813
"201",0.140393039276986,0.0307127631253489,0.0666969289120747
